question	label
血糖高的人能吃大米吗？	3
怎么控制1型糖尿病并发症	4
糖尿病人敢和爱人同房吗	5
得了糖尿病就要永远吃药吗	2
高血糖的危害有哪些	2
肾性高血糖如何治疗	1
妊娠糖尿病吃什么好	3
糖尿病手指溃烂情况严重怎么办	1
52岁10年糖尿病现心脏肾脏不好怎么办	1
糖尿病如何引起脑梗塞	2
糖尿病人为什么整天易怒心烦	2
糖尿病人动手术能吃什么营养品	3
患上糖尿病足容易治好吗	4
二型糖尿病患病1年多要打胰岛素吗	1
糖尿病患者可以自愈吗	2
糖尿病人能喝椰子汁吗	3
糖尿病手术后伤口化脓	1
糖尿病控制不危及生命吗	5
经常吃面包会的糖尿病吗	2
氨基酸对糖尿病人有副作用吗	1
手脚发麻是糖尿病吗	0
2型糖尿病人主食吃馒头好还是吃米饭好	3
i型糖尿病能生小孩吗	2
糖尿病视网膜病变能恢复吗	2
妊娠糖尿病能吃菠萝吗	3
二型糖尿病可以吃肉吗	3
纯牛奶糖尿病人可以喝吗	3
糖尿病脚气感染不愈合怎么办	1
二型糖尿病怎么增肥	5
儿童糖尿病的病因是什么	2
糖尿病并发症胃轻瘫怎么治疗	4
糖尿病病人能吃百香果吗	3
糖尿病后代会低血糖吗	2
糖尿病可不可以怀孕	2
糖尿病人头上长毛囊炎怎么办	1
糖尿病的眼部飞蚊症是怎么回事	2
糖尿病夜间胸口疼是怎么回事	2
Ⅱ型糖尿病吃什么药比较好	1
高血压糖尿病能喝醋吗	3
一型糖尿病血糖标准是什么？	0
糖尿病导致脚烂怎么办	1
糖尿病人做药流危险大吗	2
糖尿病人能吃鸭蛋黄吗	3
80多岁糖尿病发烧呕吐怎么办	1
患有冠心病、糖尿病、胃炎、失眠该怎么办	1
血糖5.1正常吗	0
糖尿病人敢吃南瓜冬瓜吗	3
轻度糖尿病并发症	4
糖尿病加子宫肌瘤能吃圣洁莓的保健品吗	5
糖尿病能吃牛初乳吗	3
7.5的血糖是糖尿病吗	0
二型糖尿病不吃药血糖能控制住吗	2
请问糖尿病人脚刮伤发炎怎么治疗	1
糖尿病会引起蛋白尿吗	4
糖尿病脾气暴躁易怒怎么办	1
糖尿病的诊断标准是什么	0
患糖尿病可以喝茶吗	3
糖尿病会不会引起低烧	4
糖尿病可以吃雪莲果么	3
血糖尿病可以吃香蕉吗	3
糖尿病吃辣椒好吗	3
吃罗汉果会得糖尿病吗	2
白醋泡鸭蛋可以治糖尿病吗	1
儿童糖尿病蜜月期能延长多久	5
6个月宝宝会得糖尿病吗	2
糖尿病会导致射不出精液吗	4
糖尿病外阴溃疡怎么办	1
糖尿病能吃肥肉吗	3
吃南瓜会得糖尿病吗	2
糖尿病人容易患结核病吗	4
不吃早餐会得糖尿病吗	2
槭糖尿病和糖尿病的区别	2
口干舌燥是糖尿病吗	0
血糖25一晚不处理有危险吗	0
初期糖尿病能通过饮食和运动能治愈吗	2
糖尿病能不能吃红枣	3
糖尿病是血脂高吗	2
糖尿病去湿气最好的方法	2
吃苦瓜桑叶和冬虫夏草能治糖尿病吗	1
巴马汤治糖尿病吗	1
你好，糖尿病人能喝清茶吗	3
糖尿病高血糖症状	0
糖尿病会起皮疹吗	4
糖化血红蛋白5.6是正常吗	0
糖尿病引起瘙痒的原因	2
糖尿病会引起拉肚子吗	4
糖尿病人患肾结石可以用激光排石法治疗吗	1
糖尿病是不是需要吸烟的问题	2
吃什么缓解糖尿病	1
糖尿病人睡前喝豆浆好吗	3
1型糖尿病病人能不能吃汉堡	3
糖尿病会不会导致脑梗塞	4
80岁老人血糖的正常范围	0
二甲双胍价格多少	5
糖尿病患者可以吃龟苓膏吗	3
糖尿病会引起手脚麻木吗	4
妊娠糖尿病可以吃香菇吗	3
老年糖尿病人又拉又吐发低烧怎么办啊	1
你好糖尿病可以引起窦性心动过速吗	5
不能进食的糖尿病人怎么使用降糖药	1
糖尿病患者为什么会出现血糖低	2
餐后2小时血糖6.5正常吗?	0
糖尿病吃山楂有好处吗	3
糖尿病人眼睛玻璃体混浊怎么治疗	1
糖尿病周围血管病变怎么治疗	1
糖尿病患者糖尿病酮症酸中毒是怎么回事	2
糖尿病能引起半身不遂吗	5
糖尿病如果长时间血糖高会引起尿毒症吗	4
糖尿病做白内障手术有危害吗	2
糖尿病慢性肾衰竭还有治疗吗	1
糖尿病长期吃木糖醇的危害	3
糖尿病眼底出血真的只有做手术了吗	1
糖尿病患者能吃李子吗	3
糖尿病可以做爱吗	2
糖尿病人是否能做前列腺手术	1
糖尿病患者上厕所会引来蚂蚁吗	2
糖尿病必须天天服药吗	1
糖尿病的尿会招蚂蚁吗	2
做糖筛前一晚喝水会导致什么后果	0
糖尿病真的很可怕吗	5
糖尿病能吃猪蹄子吗	3
糖尿病流质饮食吃哪些	3
糖尿病人冬季怎样进补	3
糖尿病患者有哪些补锌的食谱	3
糖尿病人吃孜然粉好不好	3
糖尿病老范低血糖怎么回事	2
糖尿病都有哪些并发症	4
糖尿病病人能吃豆腐吗	3
糖尿病人能吃玉米粥吗	3
糖尿病晚上低血糖怎么回事	2
糖尿病尿臭是什么原因	2
糖尿病会发生碱中毒吗	4
燕麦到底还是降血糖还是升血糖啊	3
糖尿病孕妇晚期能吃杏子吗	3
枫糖尿病儿童能活多大	5
糖尿病性酮症酸中毒是什么引起的	2
糖尿病初期为什么有低血糖反应	2
糖尿病手肿挂什么科室	5
糖尿病病人可以拔牙吗	5
产后血糖高吃什么食物	3
补铬可以治糖尿病吗	1
2型糖尿病高血压可以吃什么水果	3
糖尿病人可以适量喝点黑米粥吗	3
房颤和糖尿病有关系吗	2
糖尿病并发肾衰竭的早期症状表现	4
糖尿病患者身上起红点与病情没啥关系吧	2
糖尿病引起的皮肤病可完全治愈吗	1
糖尿病脚受伤有伤口化脓怎么好	1
糖尿病人能吃山药豆子吗	3
i型糖尿病能吃燕窝吗	3
糖尿病会引起高血脂吗	4
糖尿病人能吃猪肝吗	3
糖尿病手脚麻最佳疗法是什么	1
糖尿病患白内障能做手术吗	1
I型糖尿病慢性阴道炎怎么治疗	1
糖尿病老人脑萎缩能活多久	5
吃什么药！治疗糖尿病药名字	1
糖尿病血常规异常指标是多少	2
糖尿病引起视力模糊，一定要打胰岛素吗	1
糖尿病人做人流可以不空腹吗	2
糖尿病患者肌肝300，高血压，要透析吗	1
二型糖尿病用中医怎么调理	1
糖尿病的尿液里起一层白沫怎么办	1
7.0的血糖是糖尿病吗	0
糖尿病血糖突然低了怎么办	1
88水果酵素糖尿病人能喝吗	3
糖尿病老人可以吃猕猴桃吗	3
有糖尿病可以做双眼皮吗	5
吃什么才能治好糖尿病	5
糖尿病人可不可以服用金维康牌营养维他	3
血糖高能吃甜瓜吗	3
糖尿病肾功能衰竭怎么治疗	1
糖尿病患者如何选鞋	5
请问糖尿病人能喝紫菜汤吗	3
糖尿病患者吃什么水果较好	3
小孩糖尿病酮症酸中毒是什么原因	2
血糖检测仪多少钱	5
糖尿病下肢血管堵塞怎么治疗	1
糖尿病引起味觉丧失能活多久	5
糖尿病人喝完酒为什么腹部以上大量出汗	2
糖尿病人可以吃三七粉	3
糖尿病人肌酐高会传染别人吗	4
糖尿病患者能不能喝治胫骨疼的药酒	3
糖尿病人开水烫伤后应该怎样治疗	1
同时得糖尿病和前列腺炎的人能手术吗	1
糖尿病加静脉曲张怎么治疗	1
多吃糖不运动会不会导致糖尿病	2
引发糖尿病低血糖原因	2
罗汉果花茶可以治疗糖尿病吗	3
糖尿病截肢后能愈合吗	2
糖尿病患者能用曲安奈德针吗	1
糖尿病能引起飞蚊症吗	4
糖尿病为什么会动脉粥样硬化	2
得了糖尿病，消瘦的厉害，什么原因	2
白酒、葡萄酒、啤酒，二型糖尿病人可以喝哪	3
2型糖尿病男性患者想要孩子，还需要吃药吗	1
糖尿病能不能吃鸡	3
糖尿病人能喝丹参和绿茶吗	3
糖尿病患者可以服用阿司匹林吗	1
补硒有什么好处，能治糖尿病吗	1
二型糖尿病血糖控制标准是多少	2
糖尿病肾病会引起后背疼吗	2
糖尿病牙周炎怎么治疗	1
糖尿病肝脓肿吃什么水果好	3
糖尿病患者易患阳痿吗	4
糖尿病患者能喝无糖饮料吗	3
血糖高能吃西红柿炒鸡蛋吗	3
糖尿病会导致什么癌症	4
请问，糖尿病人能不能每天早上喝牛奶	3
大腿外侧老是麻木，不会是糖尿病的征兆吧	0
糖尿病视乳头水肿怎么治疗	1
糖尿病可以选择无痛分娩么。	2
糖化酶做白酒的危害	2
二甲双胍饭前吃还是饭后吃	1
孕期糖尿病症状	0
糖尿病会口腔溃疡吗	4
糖尿病患者能做肿瘤手术吗伤口愈合的快吗	1
糖尿病容易导致手麻木	1
1型糖尿病病人来月经能喝止疼药么	2
40岁有轻微糖尿病做人流要注意什么	5
糖尿病人能吃黑枣吗	3
2型糖尿病可以吃中药治好吗	1
2型糖尿病空腹血糖9点高吗	0
空腹血糖长期12到13有什么危险	0
血糖高能吃红薯吗	3
儿童餐后血糖8.6是糖尿病吗	0
糖尿病患者肾虚吃什么好	3
糖尿病患者能喝羊奶吗	3
怀孕糖尿病能吃苹果吗	3
糖尿病患者生肿瘤能不能开刀	1
糖尿病人可以汗蒸吗	5
糖尿病患者应该注意哪些习惯	2
糖尿病会关节疼吗	4
糖尿病如何引起脑血栓	2
糖尿病孕妇可以吃红薯吗	3
妊娠糖尿病怎么控制？	1
糖尿病眼科眼底出血的治疗办法	1
人体正常血糖值的范围是多少	0
妊娠糖尿病如何治疗	1
糖尿病会引起关节疼吗	4
糖尿病能打乒乓球吗	3
糖尿病患者伤口为何难愈合	2
糖尿病人能吃红薯吗	3
糖尿病患者可以吃玉米吗	3
巴德维疗法对二型糖尿病有效吗	1
糖尿病患者老虚脱怎么办	1
糖尿病为什么会损伤血管	2
患糖尿病两年血糖平稳包皮太长我要怎么办	1
糖尿病人能用热水泡脚吗	3
高血糖会对机体造成什么影响	2
糖尿病血糖标准范围是多少	0
糖尿病能吃香椿吗	3
宝宝糖尿病如何治疗	1
糖尿病患者浑身疼痛是怎么回事	2
糖尿病怎么自查	0
1型糖尿病可以吃哪些降糖药	1
血脂血糖高能吃西瓜吗	3
餐前血糖20.4，糖尿病是否很严重了	0
参芪降糖颗粒治疗2型糖尿病疗效如何	1
糖尿病病人可以服用三七粉吗	3
糖尿病并发脑栓塞怎么办	1
糖尿病人囗干怎么办	1
糖尿病引起高钾血症吗	4
糖尿病腿上伤口不愈合怎么办	1
糖尿病人能吃木糖醇食品吗	3
糖尿病什么食物不能吃	3
糖尿病能吃菠萝吗	3
糖尿病还有心肌梗塞吃什么好	3
糖尿病透析有副作用吗	1
糖尿病可以吃纯牛奶吗	3
糖尿病会引起血压忽高忽低吗	4
血糖达到多少属于糖尿病	0
糖尿病会引起肠梗阻吗	4
甜蜜素糖尿病人能吃吗	3
糖尿病人能吃驴胶补血颗粒吗	1
糖尿病会引起眼睛干涩吗	4
吃糖白带增多是不是糖尿病证状	0
糖尿病能吃牛油果吗	3
空腹血糖和餐后血糖哪个重要	2
手术怎样治疗糖尿病	1
糖尿病人可以打乌体林斯吗	1
打糖尿病的人能活多久	5
Ⅰ型糖尿病没有摆脱胰岛素的可能吗	2
空腹血糖10.1怎么办	0
海尔桑枝颗粒能治疗糖尿病吗	1
糖尿病会引起性功能勃起障碍吗	4
儿童1型糖尿病怎么治	1
产后嘴巴老是渴会是糖尿病吗	0
糖尿病出现酮体还有尿路感染发烧怎么治疗	1
吃羊肉好不，糖尿病人，在冬天	3
高血压糖尿病心脏不好该挂什么科	5
糖尿病会引起肝病	4
糖尿病人拔牙血糖控制在什么水平	0
糖尿病能吃馒头包子吗	3
得了糖尿病并发症眼睛看东西出现双影怎么办	1
血糖高能吃虾吗	3
吃甘蔗会得糖尿病吗	2
糖尿病人能够吃粉条吗	3
糖尿病人注射胰岛素后脸肿且痒的原因	2
吃治疗糖尿病的药导致例假异常。	1
糖尿病人可以吃无糖藕粉吗	3
2型糖尿病人手麻怎么回事	2
吃阿卡波糖片的副作用	1
糖尿病肾病脸肿怎么办	1
糖尿病人感觉人比较累可以吃点补品吗	5
糖尿病人可以喝柠檬水吗	3
得了糖尿病的人是怎样个心理	5
糖尿病人吃不下去饭咋回事	2
比较瘦的糖尿病患者吃什么降糖药	1
糖尿病性白内障的病因是什么	2
白色的尿很黏，不知道是不是糖尿病	0
糖尿病腿木麻疼怎么办	1
肝源性糖尿病因该注意什么呢	5
1型糖尿病必须要打胰岛素吗	1
脉管炎与糖尿病足区别	2
正常人的血糖范围是多少	0
2型糖尿病需要怎么治疗	1
1型儿童糖尿病能喝什么牛奶	3
糖尿病引发虹膜炎的治疗	1
糖尿病患者能长期服用六味地黄丸吗	1
糖尿病会引起逆行射精吗	4
吃干豆腐能得糖尿病吗	2
糖尿病人锻炼餐前还是餐后，什么时间开始	3
半夜会饿是糖尿病吗	0
糖尿病患者可以吃糯米玉米吗	3
二型糖尿病能做包皮环切术吗	1
糖尿病患者可以用多巴胺吗	1
赤小豆糖尿病人能吃吗	3
糖尿病人可以坐飞机吗	2
常平糖尿乐片能真的治疗糖尿病吗	1
糖尿病患者少吃什么	3
八十岁糖尿病人吃什么	3
糖尿病会尿痛吗	4
糖尿病性黄斑水肿怎么治疗	1
2型糖尿病人能喝酒吗	3
松花粉对糖尿病有治疗作用吗	1
糖尿病患者能喝糖水吗	3
糖尿病为何会致女性性冷淡	2
糖尿病会导致尿毒症吗	4
糖尿病人吃糙米好不好	3
请问糖尿病人能用枸杞和红枣泡水喝吗	3
半年来消瘦明显，乏力，问是否得了糖尿病	0
糖尿病人最好用西药吗	1
糖尿病人夜里大量喝水多好不好	2
糖尿病身上疼吗	1
糖尿病胸脯和后背痛吃什么药	1
糖尿病昏迷一个星期怎么办	1
糖尿病萝卜可以吃吗	3
请问糖尿病人小腿发胀酸痛浮肿是什么原因	2
糖尿病患者能吃扁豆吗	3
糖尿病并发症肾病症状有哪些	4
不爱喝水的人会得糖尿病吗	2
糖尿病会引起眼皮下垂吗	4
糖尿病人牙出血什么原因	2
糖尿病会引起眼病吗	4
糖尿病患者能喝罗布麻吗	1
B超查出是轻度肾积水，还有糖尿病怎么办	1
重度糖尿病如何治疗	1
吃鸡蛋对糖尿病有影响吗	3
糖尿病发作需要做脑部磁共振吗	0
静脉血和指尖血糖哪个高	2
糖尿病人能喝无糖酸奶吗	3
糖尿病为什么不能吃葱	2
白天睡觉会得糖尿病吗	2
嘴巴感觉甜是糖尿病吗	0
糖尿病病人能吃猪肉吗	3
打完胰岛素针眼便成小红点糖尿病怎么办	1
糖尿病人脚发痒是怎么回事	2
糖尿病伴有尿酮体该怎么办	1
66岁的人血糖7.6是不是糖尿病	0
糖尿病下身瘙痒怎么治	1
糖尿病二型能活多久	5
糖尿病会影响身高发育吗	2
高血压糖尿病能喝菊花茶吗	3
糖尿病眼浮肿怎么办	1
糖尿病人可以食用花生油吗	3
二期糖尿病能治好吗	2
糖尿病引发的肺结核传染吗	4
2型糖尿病需要长期服药吗	1
糖尿病并发视网膜出血如何治疗	1
糖尿病病人可以喝土豆汁吗	3
多吃黄豆和黑豆对糖尿病人有影响吗	3
糖尿病老人可每天吃丝瓜吗	3
糖尿病患者伤口感染怎么治疗	1
请问糖尿病可以吃榴莲吗	3
糖尿病患者手脚凉是什么原因	2
胆结石术后会患糖尿病吗	5
糖尿病患者全身痛该怎么办	2
糖尿病2型是什么意思	2
糖尿病人可以吃木糖醇吗	3
糖尿病人能吃梨吗	3
糖尿病患者能不能纹眉	5
糖尿病的人能吃玉米棒吗	3
糖尿病能不能吃黑木耳	3
血糖21严重吗	0
妊娠糖尿病可以母乳吗	3
糖尿病足和鸡眼的区别	2
吃乔麦对糖尿病有多大好处	3
糖尿病患者如何提高免疫力	5
糖尿病引发的肠胃功能失调	1
糖尿病人能用麻药来拔牙吗	2
妊娠糖尿病可以吃草莓吗	3
糖尿病患者可以吃丁香吗	3
糖尿病引起呼吸方面的症状	1
糖尿病患者可以吃释迦果吗	3
喝冰糖水容易得糖尿病吗	2
2型糖尿病喝什么茶好	3
糖尿病人可以吃南瓜吗	3
丹参怎样用治糖尿病	1
糖尿病人脱发厉害怎么改善	1
正常人糖化血红蛋白是多少	0
铁皮石斛对2型糖尿病有效果吗	1
糖尿病患者可以吃油条吗	3
胃转流手术治疗二型糖尿病的利弊	1
糖尿病是否能吃鸡蛋	3
餐前血糖5.1，餐后9.3算不算糖尿病	0
糖尿病和高血压哪个更可怕	5
糖尿病人很瘦怎么办	1
糖尿病人可以吃土豆和黄豆吗	3
坏疽糖尿病足能治好吗	1
糖尿病人有尿蛋白就一定是肾综合症吗	0
餐后3小时血糖正常值是多少？	0
糖尿病人能吃紫红薯吗	3
什么是糖尿病二型	2
糖尿病患者能吃葛根粉吗	3
板栗南瓜糖尿病人能吃吗	3
糖尿病人可以吃肠内营养粉剂吗？	3
2型糖尿病会遗传下一代吗	2
糖尿病可以吃火锅吗	3
糖尿病患者可以吃羊肉吗	3
糖尿病人能吃新鲜的桂圆吗	3
糖尿病血糖正常酮体高是怎么回事	2
糖尿病人能过多做爱吗	5
糖尿病会引起心脏供血不足吗	4
糖尿病人长期打胰岛素，对身体有损伤吗	1
糖尿病人适不适合绿萝花茶	3
糖尿病患者一直用诺和灵，可以换种注射药吗	1
安佳有机奶粉糖尿病能喝吗	3
二型糖尿病能吃芋头吗	3
糖尿病人咳嗽可以吃梨子吗	3
糖尿病神经病变要怎样医治	1
糖尿病患者下肢浮肿怎么办	1
白醋泡鸡蛋治疗糖尿病吗	1
糖尿病患者现在全身肿胀该怎么办	1
糖尿病上身瘙痒怎么办	1
糖尿病能吃什么面食	3
糖尿病会导致低血糖吗	4
糖尿病可以吃钙片吗	3
肺结核和糖尿病哪个更可怕	5
糖尿病人泡脚降血糖吗	5
2型糖尿病人对下一代的遗传概率有多高	2
糖尿病病人可以吃辣椒吗	3
7年糖尿病人可以怀孕吗	2
糖尿病会加重狐臭吗	4
血糖8.4是否正常	0
糖尿病人能否吃西洋参	3
锻炼可以治疗糖尿病吗	3
糖尿病人有尿蛋白怎么消除	1
儿童得糖尿病能活多久	5
糖尿病人感觉心慌是怎么回事	1
糖尿病药饭前吃还是饭后吃	1
高血压糖尿病患者可以吃降脂灵片嘛	1
高危妊娠糖尿病怎么办	1
糖尿病人喝茶好还是喝水好	3
妊娠期糖尿病与一般的糖尿病有什么区别	2
糖尿病和心脏病同时存在怎么办	1
吃马齿菜能治糖尿病吗	1
哪种胰岛素效果最好	1
妊娠期糖尿病可以吃桑椹和菠萝吗	3
糖尿病熬夜可以吗	3
糖尿病人可以吃咸面包吗	3
2型糖尿病可以怀孕吗	2
糖尿病人血脂高吃什么药	1
持续呕吐，头晕是糖尿病的并发症么	4
糖尿病会不会引起长期便秘	4
糖尿病人能吃胡萝卜吗	3
糖尿病会老是吐粘液吗	4
糖尿病人能喝葛根粉吗	3
按摩椅适合糖尿病患者用吗	5
饭后1小时血糖正常值是多少？	0
血糖一天测几次	2
肝癌加糖尿病能吃菠菜吗、	3
糖尿病周围血管病变怎么回事	2
糖尿病的能吃栗子吗	3
妊娠糖尿病患者能吃蚕豆吗	3
出现糖尿病神经性病变怎么调节预防	4
请问糖尿病能吃萝卜吗	3
查糖尿病看什么科免疫科还是内分泌	5
高血压有可能会引起糖尿病吗	2
查出糖尿病后多少年能发生并发症	4
旋磁式糖尿病治疗仪是什么？	5
妊娠糖尿病可以吃石榴吗	3
吃哪些东西对糖尿病患者身体好	3
得了急性胰腺炎后是不是容易得糖尿病	2
阿甘油对糖尿病有什么作用	1
糖尿病人发生脑溢血该怎么办	1
2型糖尿病会传染人吗	4
请问糖尿病人晚上睡不着觉有何办法	1
妊娠期糖尿病能吃葡萄糖吗	3
糖尿病是癫痫病的诱因之一吗	2
2型糖尿病可以不打胰岛素吗	1
糖尿病检查多少钱	5
吃海参对糖尿病有益吗	3
糖尿病手指发黑是怎么回事	2
糖尿病失明手术多少钱	5
2型糖尿病可以工作吗	2
初发轻度糖尿病可以逆转吗	2
糖尿病人冬天可以吃海参吗	3
糖尿病患者生酮饮食要注意什么	3
糖尿病人容易口臭吗	4
血糖空腹20是糖尿病吗	0
糖尿病人为什么检查乳酸	2
灵芝孢子粉糖尿病人可以吃吗	3
糖尿病人会得胰腺炎吗	4
糖尿病人能吃地瓜吗	3
高血压糖尿病人能生花生吗	3
糖尿病人能吃叶酸吗	1
患有糖尿病人可不可以喝咖啡	3
糖尿病人能吃红枣吗	3
2型糖尿病引发神经痛怎么治疗	4
糖尿病会引起反复发烧吗	4
糖尿病十年现在手脚凉腰凉请问怎么办	1
八十岁有糖尿病血压高但药物控制能坐飞机吗	2
糖尿病能吃猪骨髓汤吗	3
翻白草能治疗糖尿病的功效	3
秋葵怎样吃能治糖尿病	1
初期糖尿病的最佳饮食治疗方案	3
糖尿病可以吃大蒜吗	3
血糖8.6正常吗	0
糖尿病人能多吃南瓜吗	3
糖尿病人可以用药物泡脚吗	3
糖尿病患者可以使用自发热肩托么	5
老人糖尿病引起的手脚麻痹疼痛怎么治	1
Ⅱ型糖尿病并发症的前兆有哪些	4
木糖醇和三氯蔗糖哪个对糖尿病人好	3
糖尿病人能喝脱脂牛奶吗	3
糖尿病会引起瘫痪吗	4
糖尿病会引起大腿根部疼吗	4
糖尿病人多吃柚子好吗	3
糖尿病人感冒能引起血糖高吗	2
糖尿病会变成胰腺癌吗	5
血糖不稳定是怎么回事	2
吃糖尿病药的副作用	1
患有糖尿病和甲亢后身体发胖怎么回事	2
2型糖尿病性周围神经病症状	4
ii型糖尿病的男的可以生孩子吗	2
糖尿病会引起眼睛不舒服吗	4
糖尿病剖腹产伤口难愈合吃什么好	3
血糖是什么意思	2
糖尿病会不会引起关节疼痛	4
2型糖尿病吃啥药最好	1
请问糖尿病引起的前列腺囊肿可以治愈吗	1
家族中有人得糖尿病其后代是否也会得糖尿病	2
糖尿病打胰岛素为什么还瘦了	1
糖尿病可以用哑铃吗	3
空腹血糖值是5.7可不可怕	0
糖尿病现在都有臭尿了怎么办	1
打胰岛素起包了怎么办	1
你好糖尿病降糖要打胰岛素吗·	1
熬夜的人怎样预防糖尿病	4
糖尿病人是喝纯奶好还是喝酸奶好	3
妊娠糖尿病可以吃甘蔗吗	3
74岁老人糖尿病引起双目失明，能治好吗，	1
糖尿病人能打白喉破伤风疫苗吗	2
糖尿病人感觉脚冷怎治疗	1
糖尿病患者老睡觉怎么回事	2
空腹血糖8.5严重吗	0
糖尿病人能吃的维生素c吗	3
按哪地方穴位治疗糖尿病	1
糖尿病和高血压的危害	2
糖尿病人脚脱皮是什么原因	2
痛风脚肿和糖尿病脚肿怎么回事	2
输天麻素会导致糖尿病人过敏吗	1
血糖高能吃面食吗	3
糖尿病会导致胎停吗	4
糖尿病会引发肝癌吗	4
空腹血糖14正常吗	0
糖尿病患者能吃槐花吗	3
糖尿病三个加号是什么意思	2
糖尿病会越来越瘦吗	4
糖尿病脚疼如何治疗	1
冬天早上起床脸肿是不是和糖尿病有关	2
吃燕窝对糖尿病人有好处吗	3
1型糖尿病可以吃芒果吗	3
糖尿病人浮肿会死人吗	5
本人有糖尿病4年，口服消渴丸效果不太好	1
糖尿病酮症酸中毒该怎么治疗	1
二型糖尿病怀孕安全吗	2
大豆低聚糖糖尿病人能吃吗	3
肌酐正常是糖尿病肾病么	0
吃苦菜对糖尿病有好处吗	3
耐糖量受损多久能变成糖尿病	0
糖尿病孕妇可以吃山药吗	3
糖尿病剖腹产多久可以拔牙	2
65岁老人血糖的正常值是多少	0
糖尿病会烂手烂脚吗	4
2型糖尿病平均寿命是多少？	5
糖尿病人还能生孩子吗	2
糖尿病引起皮肤瘙痒用什么药膏好	1
糖尿病人为什么早晨运动后血糖升高	2
肥胖高血糖怎么治	1
多囊卵巢一般会不会有糖尿病	2
糖尿病人恶心反胃想吐是怎么回事	2
糖尿病能吃虾么	3
高血压脑动脉硬化是糖尿病病发症吗	4
糖尿病是什么引起的	2
桑枝颗粒剂治疗糖尿病效果怎么样	1
酮症酸中毒怎么治疗	1
糖尿病失明是尿毒症吗	0
糖尿病能导致水肿吗	4
糖尿病能彻底根治吗	1
得了糖尿病，脚发麻是怎么回事	2
二型糖尿病要不要打胰岛素	1
糖尿病人能吃银耳汤吗	3
患糖尿病的人可以用电子烟吗	2
适合糖尿病人吃的饼干	3
鼻子出血与糖尿病有关系吗	2
二型糖尿病可以完全治愈吗	1
老人得糖尿病什么原因	2
糖尿病能做白内障手术吗	1
糖尿病黄昏现象的危害	2
糖尿病会不会引起性功能下降	4
糖尿病会引起神经痛吗	4
